filename,lot,true_label,probability
112355144896.png,lot1,0,0.20259753
120759097790.png,lot1,0,0.1285327
123175004236.png,lot1,0,0.13180873
124267776324.png,lot1,1,0.9173467
130604837055.png,lot1,0,0.24370727
142453839951.png,lot1,0,0.30314758
146929315517.png,lot1,0,0.5231049
149028783545.png,lot1,0,0.130739
151155082681.png,lot1,0,0.42867038
151537534131.png,lot1,1,0.7580743
155989473975.png,lot1,0,0.10451623
156213568187.png,lot1,1,0.8544283
166382472116.png,lot1,0,0.7940768
166509453496.png,lot1,0,0.74955094
169090696779.png,lot1,1,0.7610527
174514983495.png,lot1,1,0.87570566
175390031804.png,lot1,0,0.27852723
179357137988.png,lot1,0,0.28697747
182189805135.png,lot1,0,0.45921534
192467887039.png,lot1,1,0.7475543
193557805901.png,lot1,0,0.71519697
196090507456.png,lot1,0,0.24139501
205703262287.png,lot1,0,0.29491094
205840398400.png,lot1,0,0.54765135
206595871045.png,lot1,0,0.6825536
208547652800.png,lot1,0,0.1917848
214450043723.png,lot1,0,0.5380327
214721435721.png,lot1,0,0.13359557
239896750261.png,lot1,1,0.79498374
244058564934.png,lot1,0,0.024891187
245037313719.png,lot1,1,0.9468302
245406637890.png,lot1,0,0.22548065
247840782403.png,lot1,0,0.19530009
248232501327.png,lot1,0,0.42945114
249775323326.png,lot1,0,0.06931133
249915343296.png,lot1,0,0.19977435
260964366783.png,lot1,1,0.53691256
261951236288.png,lot1,1,0.5725358
263748814009.png,lot1,0,0.31594723
275253725508.png,lot1,0,0.114672385
278279754428.png,lot1,0,0.14065686
280133655998.png,lot1,0,0.30425903
283316009148.png,lot1,1,0.2807373
283969448638.png,lot1,0,0.16033567
286294163640.png,lot1,0,0.2916893
294755582031.png,lot1,0,0.52987844
295071802298.png,lot1,0,0.53674436
296743604801.png,lot1,0,0.40563273
306180504901.png,lot1,0,0.73823714
309293207481.png,lot1,0,0.21566714
318393141950.png,lot1,0,0.41136762
319198180686.png,lot1,0,0.46023765
319284091322.png,lot1,0,0.14896595
319861391180.png,lot1,1,0.8024866
323049824837.png,lot1,0,0.67539704
323216066376.png,lot1,1,0.6371184
331994804662.png,lot1,0,0.6761677
332262029390.png,lot1,0,0.44829428
354494414668.png,lot1,0,0.15523762
357743806796.png,lot1,0,0.29760376
367033184947.png,lot1,0,0.5942275
368112377014.png,lot1,0,0.31481177
377396256589.png,lot1,0,0.22390328
382388955983.png,lot1,1,0.98821545
382842542770.png,lot1,0,0.30141568
385364175281.png,lot1,0,0.36816472
386594653886.png,lot1,0,0.23534791
388457243971.png,lot1,0,0.2980699
389333895104.png,lot1,1,0.56611615
389762947264.png,lot1,0,0.39539564
390659573835.png,lot1,0,0.109704845
391986630578.png,lot1,0,0.16782746
396096447168.png,lot1,1,0.6261073
401302850236.png,lot1,1,0.6868632
402709362358.png,lot1,1,0.44295308
405112526006.png,lot1,0,0.051203877
426616352327.png,lot1,0,0.18916081
440954259636.png,lot1,0,0.32635924
444257074368.png,lot1,0,0.23431547
